,l,sigma,mmd
0,"tensor(0.0011, dtype=torch.float64)",1,0.0016551802
1,"tensor(0.0031, dtype=torch.float64)",1,0.0025153589
2,"tensor(0.0085, dtype=torch.float64)",1,0.0016200622
3,"tensor(0.0231, dtype=torch.float64)",1,0.0014029033
4,"tensor(0.0628, dtype=torch.float64)",1,0.0016373061
5,"tensor(0.1707, dtype=torch.float64)",1,0.0023858547
6,"tensor(0.4639, dtype=torch.float64)",1,0.0028755963
7,"tensor(1.2611, dtype=torch.float64)",1,0.0033078194
8,"tensor(3.4280, dtype=torch.float64)",1,0.0005413294
